"Latitude","Longitude","Height"
50.09583,-107.7458,884
50.09583,-107.6958,890
50.09583,-107.6458,890
50.09583,-107.5958,884
50.09583,-107.5458,878
50.09583,-107.4958,841
50.09583,-107.4458,823
50.09583,-107.3958,792
50.09583,-107.3458,780
50.09583,-107.2958,786
50.09583,-107.2458,786
50.09583,-107.1958,805
50.09583,-107.1458,792
50.09583,-107.0958,786
50.09583,-107.0458,762
50.09583,-106.9958,713
50.09583,-106.9458,689
50.09583,-106.8958,695
50.09583,-106.8458,701
50.09583,-106.7958,695
50.09583,-106.7458,707
50.09583,-106.6958,719
50.09583,-106.6458,725
50.09583,-106.5958,701
50.09583,-106.5458,701
50.09583,-106.4958,689
50.09583,-106.4458,677
50.09583,-106.3958,683
50.09583,-106.3458,677
50.09583,-106.2958,671
50.09583,-106.2458,683
50.09583,-106.1958,677
50.09583,-106.1458,671
50.09583,-106.0958,664
50.09583,-106.0458,664
50.09583,-105.9958,664
50.09583,-105.9458,664
50.09583,-105.8958,664
50.09583,-105.8458,664
50.09583,-105.7958,695
50.09583,-105.7458,683
50.09583,-105.6958,725
50.09583,-105.6458,732
50.09583,-105.5958,738
50.09583,-105.5458,725
50.09583,-105.4958,732
50.09583,-105.4458,750
50.09583,-105.3958,664
50.09583,-105.3458,622
50.09583,-105.2958,616
50.09583,-105.2458,610
50.09583,-105.1958,591
50.09583,-105.1458,591
50.09583,-105.0958,573
50.09583,-105.0458,567
50.09583,-104.9958,567
50.09583,-104.9458,567
50.09583,-104.8958,561
50.09583,-104.8458,567
50.09583,-104.7958,567
50.09583,-104.7458,573
50.09583,-104.6958,573
50.09583,-104.6458,579
50.09583,-104.5958,579
50.09583,-104.5458,579
50.09583,-104.4958,579
50.09583,-104.4458,579
50.09583,-104.3958,579
50.09583,-104.3458,573
50.09583,-104.2958,579
50.09583,-104.2458,573
50.09583,-104.1958,573
50.09583,-104.1458,573
50.09583,-104.0958,585
50.09583,-104.0458,597
50.09583,-103.9958,597
50.09583,-103.9458,597
50.09583,-103.8958,597
50.09583,-103.8458,597
50.09583,-103.7958,604
50.09583,-103.7458,616
50.09583,-103.6958,622
50.09583,-103.6458,640
50.09583,-103.5958,646
50.09583,-103.5458,652
50.09583,-103.4958,658
50.09583,-103.4458,652
50.09583,-103.3958,652
50.09583,-103.3458,652
50.09583,-103.2958,640
50.09583,-103.2458,652
50.09583,-103.1958,640
50.09583,-103.1458,634
50.09583,-103.0958,664
50.09583,-103.0458,677
50.09583,-102.9958,677
50.09583,-102.9458,671
50.09583,-102.8958,664
50.09583,-102.8458,671
50.09583,-102.7958,664
50.09583,-102.7458,658
50.09583,-102.6958,652
50.09583,-102.6458,658
50.09583,-102.5958,658
50.09583,-102.5458,664
50.09583,-102.4958,658
50.09583,-102.4458,646
50.09583,-102.3958,646
50.09583,-102.3458,652
50.09583,-102.2958,652
50.09583,-102.2458,671
50.09583,-102.1958,664
50.09583,-102.1458,658
50.09583,-102.0958,652
50.09583,-102.0458,610
50.09583,-101.9958,604
50.09583,-101.9458,597
50.09583,-101.8958,597
50.09583,-101.8458,585
50.09583,-101.7958,579
50.09583,-101.7458,579
50.09583,-101.6958,561
50.09583,-101.6458,567
50.09583,-101.5958,561
50.09583,-101.5458,549
50.09583,-101.4958,530
50.09583,-101.4458,518
50.09583,-101.3958,506
50.09583,-101.3458,500
50.09583,-101.2958,494
50.09583,-101.2458,488
50.09583,-101.1958,475
50.09583,-101.1458,469
50.09583,-101.0958,457
50.09583,-101.0458,457
50.09583,-100.9958,384
50.09583,-100.9458,421
50.09583,-100.8958,463
50.09583,-100.8458,469
50.09583,-100.7958,475
50.09583,-100.7458,488
50.09583,-100.6958,488
50.09583,-100.6458,494
50.09583,-100.5958,494
50.09583,-100.5458,500
50.09583,-100.4958,500
50.09583,-100.4458,500
50.09583,-100.3958,506
50.09583,-100.3458,506
50.09583,-100.2958,512
50.09583,-100.2458,506
50.09583,-100.1958,500
50.09583,-100.1458,463
50.09583,-100.0958,494
50.09583,-100.0458,518
50.09583,-99.99583,530
50.09583,-99.94583,530
50.09583,-99.89584,512
50.09583,-99.84583,500
50.09583,-99.79583,488
50.09583,-99.74583,463
50.09583,-99.69583,445
50.09583,-99.64584,421
50.09583,-99.59583,402
50.09583,-99.54583,384
50.09583,-99.49583,384
50.09583,-99.44583,390
50.09583,-99.39584,390
50.09583,-99.34583,390
50.09583,-99.29583,384
50.09583,-99.24583,366
50.09583,-99.19583,341
50.09583,-99.14584,311
50.09583,-99.09583,305
50.09583,-99.04583,293
50.09583,-98.99583,287
50.09583,-98.94583,280
50.09583,-98.89584,280
50.09583,-98.84583,274
50.09583,-98.79583,262
50.09583,-98.74583,262
50.09583,-98.69583,262
50.09583,-98.64584,256
50.09583,-98.59583,256
50.09583,-98.54583,250
50.09583,-98.49583,250
50.09583,-98.44583,250
50.09583,-98.39584,250
50.09583,-98.34583,250
50.09583,-98.29583,250
50.09583,-98.24583,250
50.09583,-98.19583,250
50.09583,-98.14584,250
50.09583,-98.09583,250
50.09583,-98.04583,250
50.09583,-97.99583,244
50.09583,-97.94583,244
50.09583,-97.89584,244
50.09583,-97.84583,244
50.09583,-97.79583,250
50.09583,-97.74583,250
50.09583,-97.69583,244
50.09583,-97.64584,244
50.09583,-97.59583,244
50.09583,-97.54583,244
50.09583,-97.49583,244
50.09583,-97.44583,244
50.09583,-97.39584,244
50.09583,-97.34583,244
50.09583,-97.29583,244
50.09583,-97.24583,232
50.09583,-97.19583,232
50.09583,-97.14584,232
50.09583,-97.09583,232
50.09583,-97.04583,232
50.09583,-96.99583,232
50.09583,-96.94583,226
50.09583,-96.89584,226
50.09583,-96.84583,232
50.09583,-96.79583,232
50.09583,-96.74583,232
50.09583,-96.69583,232
50.09583,-96.64584,238
50.09583,-96.59583,250
50.09583,-96.54583,238
50.09583,-96.49583,238
50.09583,-96.44583,232
50.09583,-96.39584,232
50.09583,-96.34583,238
50.09583,-96.29583,256
50.09583,-96.24583,280
50.09583,-96.19583,287
50.09583,-96.14584,287
50.09583,-96.09583,274
50.09583,-96.04583,262
50.09583,-95.99583,274
50.09583,-95.94583,280
50.09583,-95.89584,280
50.09583,-95.84583,280
50.09583,-95.79583,287
50.09583,-95.74583,287
50.09583,-95.69583,280
50.09583,-95.64584,299
50.09583,-95.59583,299
50.09583,-95.54583,305
50.09583,-95.49583,311
50.09583,-95.44583,329
50.09583,-95.39584,329
50.09583,-95.34583,329
50.09583,-95.29583,329
50.09583,-95.24583,323
50.09583,-95.19583,329
50.09583,-95.14584,335
50.09583,-95.09583,335
50.09583,-95.04583,329
50.09583,-94.99583,299
50.09583,-94.94583,311
50.09583,-94.89584,317
50.09583,-94.84583,372
50.09583,-94.79583,329
50.09583,-94.74583,329
50.09583,-94.69583,366
50.09583,-94.64584,311
50.09583,-94.59583,335
50.09583,-94.54583,354
50.09583,-94.49583,384
50.09583,-94.44583,354
50.09583,-94.39584,360
50.09583,-94.34583,360
50.09583,-94.29583,329
50.09583,-94.24583,323
50.09583,-94.19583,354
50.09583,-94.14584,335
50.09583,-94.09583,329
50.09583,-94.04583,329
50.09583,-93.99583,366
50.09583,-93.94583,396
50.09583,-93.89584,396
50.09583,-93.84583,347
50.09583,-93.79583,396
50.09583,-93.74583,347
50.09583,-93.69583,366
50.09583,-93.64584,323
50.09583,-93.59583,360
50.09583,-93.54583,360
50.09583,-93.49583,366
50.09583,-93.44583,384
50.09583,-93.39584,396
50.09583,-93.34583,390
50.09583,-93.29583,421
50.09583,-93.24583,408
50.09583,-93.19583,421
50.09583,-93.14584,415
50.09583,-93.09583,396
50.09583,-93.04583,402
50.09583,-92.99583,396
50.09583,-92.94583,427
50.09583,-92.89584,408
50.09583,-92.84583,451
50.09583,-92.79583,445
50.09583,-92.74583,433
50.09583,-92.69583,451
50.09583,-92.64584,396
50.09583,-92.59583,390
50.09583,-92.54583,415
50.09583,-92.49583,402
50.09583,-92.44583,402
50.09583,-92.39584,384
50.09583,-92.34583,396
50.09583,-92.29583,384
50.09583,-92.24583,396
50.09583,-92.19583,354
50.09583,-92.14584,372
50.09583,-92.09583,360
50.09583,-92.04583,384
50.09583,-91.99583,421
50.09583,-91.94583,354
50.09583,-91.89584,372
50.09583,-91.84583,354
50.09583,-91.79583,378
50.09583,-91.74583,396
50.09583,-91.69583,390
50.09583,-91.64584,402
50.09583,-91.59583,378
50.09583,-91.54583,390
50.09583,-91.49583,415
50.09583,-91.44583,408
50.09583,-91.39584,396
50.09583,-91.34583,402
50.09583,-91.29583,396
50.09583,-91.24583,396
50.09583,-91.19583,396
50.09583,-91.14584,396
50.09583,-91.09583,396
50.09583,-91.04583,408
50.09583,-90.99583,421
50.09583,-90.94583,421
50.09583,-90.89584,427
50.09583,-90.84583,427
50.09583,-90.79583,408
50.09583,-90.74583,408
50.09583,-90.69583,433
50.09583,-90.64584,427
50.09583,-90.59583,433
50.09583,-90.54583,421
50.09583,-90.49583,421
50.09583,-90.44583,427
50.09583,-90.39584,427
50.09583,-90.34583,421
50.09583,-90.29583,427
50.09583,-90.24583,421
50.09583,-90.19583,427
50.09583,-90.14584,427
50.09583,-90.09583,427
50.09583,-90.04583,421
50.14583,-112.4708,817
50.14583,-112.4208,811
50.14583,-112.3708,799
50.14583,-112.3208,780
50.14583,-112.2708,786
50.14583,-112.2208,799
50.14583,-112.1708,786
50.14583,-112.1208,786
50.14583,-112.0708,780
50.14583,-112.0208,774
50.14583,-111.9708,780
50.14583,-111.9208,774
50.14583,-111.8708,780
50.14583,-111.8208,744
50.14583,-111.7708,762
50.14583,-111.7208,732
50.14583,-111.6708,738
50.14583,-111.6208,750
50.14583,-111.5708,750
50.14583,-111.5208,756
50.14583,-111.4708,762
50.14583,-111.4208,762
50.14583,-111.3708,756
50.14583,-111.3208,756
50.14583,-111.2708,750
50.14583,-111.2208,756
50.14583,-111.1708,768
50.14583,-111.1208,768
50.14583,-111.0708,762
50.14583,-111.0208,774
50.14583,-110.9708,792
50.14583,-110.9208,780
50.14583,-110.8708,774
50.14583,-110.8208,762
50.14583,-110.7708,756
50.14583,-110.7208,707
50.14583,-110.6708,701
50.14583,-110.6208,646
50.14583,-110.5708,762
50.14583,-110.5208,732
50.14583,-110.4708,756
50.14583,-110.4208,792
50.14583,-110.3708,750
50.14583,-110.3208,750
50.14583,-110.2708,725
50.14583,-110.2208,725
50.14583,-110.1708,732
50.14583,-110.1208,732
50.14583,-110.0708,719
50.14583,-110.0208,719
50.14583,-109.9708,750
50.14583,-109.9208,738
50.14583,-109.8708,707
50.14583,-109.8208,725
50.14583,-109.7708,744
50.14583,-109.7208,744
50.14583,-109.6708,732
50.14583,-109.6208,713
50.14583,-109.5708,719
50.14583,-109.5208,719
50.14583,-109.4708,725
50.14583,-109.4208,732
50.14583,-109.3708,744
50.14583,-109.3208,732
50.14583,-109.2708,719
50.14583,-109.2208,725
50.14583,-109.1708,725
50.14583,-109.1208,738
50.14583,-109.0708,750
50.14583,-109.0208,762
50.14583,-108.9708,762
50.14583,-108.9208,750
50.14583,-108.8708,792
50.14583,-108.8208,780
50.14583,-108.7708,756
50.14583,-108.7208,786
50.14583,-108.6708,756
50.14583,-108.6208,786
50.14583,-108.5708,811
50.14583,-108.5208,792
50.14583,-108.4708,786
50.14583,-108.4208,780
50.14583,-108.3708,774
50.14583,-108.3208,799
50.14583,-108.2708,799
50.14583,-108.2208,853
50.14583,-108.1708,847
50.14583,-108.1208,860
50.14583,-108.0708,853
50.14583,-108.0208,853
50.14583,-107.9708,823
50.14583,-107.9208,774
